source,target
172005,0
172005,1
172005,2
172005,3
172005,4
172005,5
172005,6
172005,7
172005,8
172005,9
172005,10
172005,11
9351,12
9351,13
9351,14
9351,16
9351,17
9351,18
9351,19
9351,20
9351,21
9351,22
9351,23
9351,24
9351,25
9351,26
116552,27
116552,29
116552,30
116552,32
116552,33
116552,34
116552,35
116552,36
116552,37
116552,38
116552,39
116552,40
116552,42
116552,44
116552,46
116552,47
116552,48
36213,49
36213,50
36213,51
36213,52
36213,53
36213,54
36213,55
36213,56
36213,57
36213,59
36213,60
36213,61
36213,62
36213,63
59444,64
59444,65
59444,66
59444,67
59444,68
59444,69
59444,70
59444,71
59444,72
59444,73
59444,74
59444,75
59444,76
59444,79
59444,80
59444,83
59444,84
59444,85
59444,87
59444,88
59444,89
53462,90
53462,91
53462,92
53462,93
53462,95
53462,96
53462,97
53462,98
53462,99
53462,100
53462,101
53462,102
53462,103
53462,104
53462,105
53462,106
53462,107
53462,109
53462,110
53462,111
53462,112
53462,113
39403,114
39403,115
39403,116
39403,117
39403,118
39403,120
39403,121
39403,122
39403,123
39403,124
39403,125
39403,126
39403,127
39403,128
39403,129
39403,130
39403,131
129532,133
129532,135
129532,136
38318,91
38318,138
38318,139
38318,140
38318,141
38318,142
38318,144
38318,145
38318,146
38318,103
38318,148
38318,149
38318,150
38318,151
38318,152
38318,153
38318,113
293149,155
293149,157
293149,158
293149,159
293149,160
293149,161
293149,162
293149,163
293149,164
293149,166
293149,167
293149,169
293149,171
293149,172
293149,173
293149,174
293149,175
293149,176
293149,177
293149,178
201,179
201,180
201,181
201,183
201,184
201,185
201,186
201,187
201,192
201,193
201,195
201,2
201,198
201,200
201,201
201,202
201,203
201,205
201,206
201,208
201,212
201,213
201,215
201,216
201,217
201,218
201,219
201,220
201,221
201,222
201,223
201,224
201,225
201,226
201,227
201,228
1102349,229
1102349,230
1102349,231
1008433,235
1008433,236
1008433,237
1008433,238
1008433,239
1008433,240
1008433,241
1008433,242
1008433,243
1008433,244
1008433,245
1008433,246
1008433,247
1008433,248
1008433,249
1008433,250
1008433,251
1008433,252
1008433,253
1008433,254
1008433,255
1008433,256
1008433,257
1008433,258
1008433,259
1008433,260
1008433,261
1008433,262
1008433,263
1008433,264
1008433,265
1008433,266
1008433,267
1008433,268
1008433,269
1008433,270
1008433,271
1008433,272
1008433,273
1008433,274
1008433,275
1008433,276
1008433,277
1008433,279
1008433,280
1152067,281
107173,282
107173,114
107173,285
107173,286
107173,287
107173,288
107173,289
107173,290
107173,291
107173,292
107173,293
54784,294
54784,295
54784,296
54784,297
54784,298
54784,299
54784,300
54784,301
54784,302
54784,303
54784,304
54784,305
54784,306
54784,307
54784,308
54784,309
54784,310
54784,311
54784,312
54784,313
54784,314
54784,315
54784,316
54784,317
54784,318
54784,319
343,320
343,321
343,322
343,323
343,325
343,326
343,327
343,328
343,330
343,332
343,333
343,334
343,335
343,336
343,337
343,338
343,341
343,342
343,343
343,344
343,346
343,347
343,348
343,349
343,350
343,352
343,353
343,354
343,355
343,356
343,357
343,358
343,360
343,361
343,362
343,363
382,364
382,365
382,366
382,367
382,368
382,369
382,370
382,371
382,372
382,373
382,374
382,375
382,376
382,377
382,378
382,379
382,380
382,381
382,382
382,384
382,386
382,388
382,389
404,390
404,391
404,392
404,393
404,394
404,395
404,396
404,397
404,398
404,231
404,400
404,401
404,403
404,404
404,405
404,406
404,268
404,408
404,409
404,410
404,411
424,413
424,414
424,415
424,416
424,417
424,251
424,419
424,422
424,424
267003,427
267003,428
267003,430
267003,431
267003,432
267003,433
267003,434
267003,435
267003,436
267003,437
267003,438
267003,440
267003,441
267003,442
267003,443
267003,444
65335,446
65335,447
65335,448
65335,449
65335,450
65335,451
65335,452
65335,453
65335,454
65335,455
65335,456
65335,458
65335,459
58454,461
58454,462
58454,463
58454,465
58454,466
58454,467
58454,469
58454,471
58454,472
58454,473
58454,474
58454,475
58454,476
838152,477
838152,478
838152,479
838152,480
838152,481
838152,482
838152,483
838152,484
838152,485
838152,486
838152,487
838152,488
838152,489
838152,490
309083,491
309083,492
309083,493
309083,494
309083,495
1102364,496
1102364,497
1102364,498
1102364,499
1102364,500
1102364,501
1102364,502
1102364,503
1102364,504
1102364,506
1102364,507
1102364,509
1102364,510
1102364,511
1102364,513
1102364,514
1102364,515
1102364,516
1102364,517
1102364,518
1102364,519
1102364,520
1102364,521
1102364,522
1102364,523
1102364,526
1102364,527
1102364,528
1102364,530
1102364,531
1102364,532
1102364,535
1102364,536
1102364,538
1102364,540
1102364,541
1102364,544
1102364,545
1102364,546
1102364,547
1102364,548
1102364,549
1102364,551
1102364,552
1102364,553
1102364,555
1102364,556
113508,557
113508,558
113508,559
113508,560
113508,561
113508,562
113508,563
113508,564
113508,565
113508,566
113508,568
113508,569
113508,570
113508,571
113508,572
113508,573
113508,574
113508,575
113508,576
113508,577
113508,578
113508,580
113508,581
113508,582
113508,583
113508,584
113508,586
589,587
589,588
589,589
589,590
589,591
589,592
589,593
589,594
589,595
589,596
589,597
589,598
589,599
589,600
589,601
589,602
589,604
589,605
589,606
589,607
589,608
645,609
645,610
645,611
645,612
645,613
645,614
645,615
645,616
645,617
645,618
645,619
645,620
645,621
645,622
645,623
645,624
645,625
645,626
645,627
645,628
645,629
645,630
645,632
645,633
645,634
645,635
645,636
645,637
645,638
645,639
645,641
645,642
645,643
645,644
645,645
645,648
645,649
645,650
645,651
645,653
645,654
645,655
645,656
645,658
645,659
645,660
645,661
645,662
645,663
645,664
645,665
57874,666
57874,667
57874,668
57874,669
57874,670
57874,671
57874,672
57874,673
57874,674
57874,677
57874,678
57874,679
57874,680
57874,681
57874,683
57874,684
57874,685
57874,686
57874,687
57874,688
610702,689
610702,690
610702,691
610702,692
610702,693
610702,694
610702,695
610702,696
610702,697
610702,698
610702,699
610702,702
610702,703
610702,704
610702,705
610702,706
610702,707
610702,708
610702,710
610702,711
610702,712
610702,713
610702,714
610702,715
610702,716
610702,717
298870,12
298870,719
298870,720
298870,302
298870,14
298870,723
298870,724
298870,16
298870,726
298870,727
298870,728
298870,729
298870,730
298870,19
298870,732
298870,733
298870,735
298870,736
298870,737
298870,20
298870,739
298870,740
298870,741
298870,742
298870,743
298870,744
298870,745
476718,746
476718,747
476718,748
476718,749
476718,750
476718,751
476718,752
476718,753
476718,754
476718,755
476718,756
476718,757
476718,758
476718,760
1102372,761
1102372,762
1102372,763
1102372,764
1102372,768
1102372,769
1102372,770
1102372,771
1102372,772
1102372,773
1102372,774
1102372,6
1102372,776
1102372,777
1102372,778
1102372,779
1102372,780
1102372,781
1102372,782
1102372,783
1102372,784
1102372,785
1102372,786
1102372,787
1102372,788
1102372,789
1102372,790
1102372,791
1102372,792
1102372,793
1102372,794
23879,795
23879,796
23879,797
23879,798
23879,799
23879,801
23879,803
23879,804
23879,805
23879,806
23879,807
23879,808
57932,810
57932,811
57932,813
57932,814
57932,815
837,816
837,818
837,819
837,820
837,821
837,822
837,823
837,824
837,825
837,826
837,827
837,828
837,829
837,830
837,831
837,832
837,833
837,834
837,835
837,836
837,837
837,838
837,840
837,841
837,842
1102376,843
1102376,844
1102376,845
1102376,846
1102376,305
1102376,848
1102376,849
1102376,850
1102376,604
1102376,852
1102376,853
1102376,854
1102376,855
1102376,856
1102376,857
1102376,858
1102376,859
1102376,860
1102376,861
1102376,862
1102376,863
1102377,864
1102377,865
1102377,866
1102377,867
1102377,868
1102377,869
1102377,870
1102377,872
1102377,873
1102377,874
1102377,876
1102377,877
1102377,879
1102377,880
1102377,881
1102377,882
1102377,883
1102377,884
1102377,885
1102377,886
1102377,887
1102377,888
1102377,889
1102377,890
1102377,891
1102377,892
900,893
900,895
900,896
900,897
900,899
900,900
900,902
34355,903
34355,904
34355,906
34355,907
34355,908
34355,909
34355,910
34355,911
34355,912
34355,913
34355,914
3828,915
3828,916
3828,917
3828,918
3828,919
3828,920
3828,921
3828,922
3828,924
3828,925
3828,926
3828,927
3828,928
3828,929
3828,930
3828,931
3828,932
3828,933
3828,934
3828,935
3828,936
3828,937
3828,938
3828,939
3828,940
3828,941
3828,942
3828,943
3828,944
3828,945
3828,947
3828,948
3828,949
3828,950
3828,951
3828,952
6485,954
6485,955
6485,956
6485,957
6485,958
6485,959
6485,71
6485,961
6485,962
6485,963
6485,964
6485,965
6485,966
6485,967
6485,968
6485,969
6485,970
6485,972
6485,973
6485,974
6485,975
6485,976
62474,613
