id,filename,citation
2,http:##dimacs.rutgers.edu#techps#1994#94-07.ps,"[Gar] <author> M.R. Garey & D.S. Johnson, </author> <title> Computers and Intractibility: A Guide to the Theory of NP-Completeness, W.H. </title> <publisher> Freeman, </publisher> <address> New York, </address> <year> 1979. </year>"
16,http:##www.cs.wisc.edu#~fischer#ftp#pub#tech-reports#ncstrl.uwmadison#CS-TR-90-907#CS-TR-90-907.ps.Z,"[DeWitt90] <author> D. DeWitt, P. Futtersack, D. Maier, F. Velez, </author> <title> ""A Study of Three Alternative Workstation-Server Architectures for Object-Oriented Database Systems"", </title> <booktitle> Proceedings of the 16th International Conferece on Very Large Data Bases, </booktitle> <address> Brisbane, Australia, </address> <month> August, </month> <year> 1990. </year>"
18,ftp:##ftp.cs.purdue.edu#pub#hosking#papers#oopsla93.ps.gz,"[Hoski93a] <author> A. Hosking, J. E. B. Moss, </author> <title> ""Object Fault Handling for Persistent Programming Languages: A Performance Evaluation"", </title> <booktitle> Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA), </booktitle> <pages> pp. 288-303, </pages> <year> 1993. </year> <booktitle> Proceedings of the 16th International Conferece on Very Large Data Bases </booktitle>"
18,ftp:##ftp.cs.umass.edu#pub#osl#papers#oopsla93.ps.Z,"[Hoski93a] <author> A. Hosking, J. E. B. Moss, </author> <title> ""Object Fault Handling for Persistent Programming Languages: A Performance Evaluation"", </title> <booktitle> Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA), </booktitle> <pages> pp. 288-303, </pages> <year> 1993. </year> <booktitle> Proceedings of the 16th International Conferece on Very Large Data Bases </booktitle>"
18,http:##cobar.cs.umass.edu#pubfiles#ds7.ps.gz,"[Hoski93a] <author> A. Hosking, J. E. B. Moss, </author> <title> ""Object Fault Handling for Persistent Programming Languages: A Performance Evaluation"", </title> <booktitle> Proceedings of the ACM Conference on Object-Oriented Programming Systems and Languages (OOPSLA), </booktitle> <pages> pp. 288-303, </pages> <year> 1993. </year> <booktitle> Proceedings of the 16th International Conferece on Very Large Data Bases </booktitle>"
20,http:##www.pmg.lcs.mit.edu#papers#dist-mgmt.ps.gz,"[Liskov93] <author> Liskov B., Day M., Shrira L. </author> <title> Distributed Object Management in Thor. </title> <editor> In M. Tamer Ozsu and Umesh Dayal and Patrick Valduriez, editors, </editor> <booktitle> Distributed Object Management. </booktitle> <address> San Mateo, California, </address> <year> 1993. </year>"
20,http:##www.pmg.lcs.mit.edu#papers#thor.ps.gz,"[Liskov93] <author> Liskov B., Day M., Shrira L. </author> <title> Distributed Object Management in Thor. </title> <editor> In M. Tamer Ozsu and Umesh Dayal and Patrick Valduriez, editors, </editor> <booktitle> Distributed Object Management. </booktitle> <address> San Mateo, California, </address> <year> 1993. </year>"
22,http:##www.pmg.lcs.mit.edu#papers#osdi94-opplog.ps.gz,"[Otoole94] <author> J. O\'Toole, L. Shrira, </author> <title> ""Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server"", </title> <booktitle> USENIX Symposium on Operating Systems Design and Implementation (OSDI), </booktitle> <month> November </month> <year> 1994, </year> <pages> pp. 39-48. </pages>"
22,http:##www.psrg.lcs.mit.edu#ftpdir#pub#james#papers#osdi-final.ps,"[Otoole94] <author> J. O\'Toole, L. Shrira, </author> <title> ""Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server"", </title> <booktitle> USENIX Symposium on Operating Systems Design and Implementation (OSDI), </booktitle> <month> November </month> <year> 1994, </year> <pages> pp. 39-48. </pages>"
22,http:##www.psrg.lcs.mit.edu#~james#drafts#asplos-submission.ps,"[Otoole94] <author> J. O\'Toole, L. Shrira, </author> <title> ""Opportunistic Log: Efficient Installation Reads in a Reliable Storage Server"", </title> <booktitle> USENIX Symposium on Operating Systems Design and Implementation (OSDI), </booktitle> <month> November </month> <year> 1994, </year> <pages> pp. 39-48. </pages>"
25,file:##ftp.cs.wisc.edu#tech-reports#reports#92#tr1093.ps.Z,"[White & DeWitt 92] <author> S. J. White and D. J. DeWitt. </author> <title> A performance study of alternative object faulting and pointer swizzling strategies. </title> <booktitle> In Proceedings of the 18th VLDB Conference, </booktitle> <pages> pages 419-431, </pages> <year> 1992. </year>"
25,http:##www.cs.wisc.edu#~fischer#ftp#pub#tech-reports#ncstrl.uwmadison#CS-TR-92-1093#CS-TR-92-1093.ps.Z,"[White & DeWitt 92] <author> S. J. White and D. J. DeWitt. </author> <title> A performance study of alternative object faulting and pointer swizzling strategies. </title> <booktitle> In Proceedings of the 18th VLDB Conference, </booktitle> <pages> pages 419-431, </pages> <year> 1992. </year>"
26,ftp:##ftp.cs.utexas.edu#pub#garbage#swizz.ps,"[Wilson 91] <author> Wilson, P. R. </author> <title> Pointer swizzling at page fault time: Efficiently supporting huge address spaces on standard hardware. </title> <journal> ACM SIGARCH Computer Architecture News, </journal> <volume> 19(4), </volume> <month> June </month> <year> 1991. </year> <institution> University of Illinois at Chicago Technical Report UIC-EECS-90-6, </institution> <month> December </month> <year> 1990. </year>"
26,http:##http.cs.berkeley.edu#~asah#papers#other#to-read#swizz.ps.gz,"[Wilson 91] <author> Wilson, P. R. </author> <title> Pointer swizzling at page fault time: Efficiently supporting huge address spaces on standard hardware. </title> <journal> ACM SIGARCH Computer Architecture News, </journal> <volume> 19(4), </volume> <month> June </month> <year> 1991. </year> <institution> University of Illinois at Chicago Technical Report UIC-EECS-90-6, </institution> <month> December </month> <year> 1990. </year>"
